Periodo,IPCGEN,IPCSAE,IPCSV,TPM
01jan1995,8.5,9.800000000000001,10.37426892,
01feb1995,8.699999999999999,9.199999999999999,9.845535534,
01mar1995,8.199999999999999,8.4,8.694642392,
01apr1995,8.300000000000001,8.1,8.362593761999999,
01may1995,7.4,7.5,7.835939921,6
01jun1995,7.6,7.4,7.671844891,6
01jul1995,7.9,7.3,7.64708639,5.77
01aug1995,8.5,7.8,8.039055888,5.7
01sep1995,8.6,7.8,8.291836899,5.9
01oct1995,8.800000000000001,7.5,8.239614744000001,6.38
01nov1995,8.199999999999999,7.7,8.081628697999999,6.5
01dec1995,8.199999999999999,7.3,7.417284333,6.68
01jan1996,7.8,7.4,7.396429747,6.7
01feb1996,7.8,7.7,7.623324524,6.7
01mar1996,7.9,7.6,8.081751647000001,6.7
01apr1996,8.4,7.6,8.107411044999999,7.31
01may1996,8.6,7.4,8.741321201,7.5
01jun1996,8.300000000000001,7.4,9.059793203,7.5
01jul1996,7.7,7.6,9.166675057000001,7.5
01aug1996,6.4,7.1,8.716849192,7.5
01sep1996,6.3,6.9,8.431187372,7.5
01oct1996,6.2,7,8.333388769000001,7.5
01nov1996,6.6,6.9,8.225285827,7.5
01dec1996,6.6,7,8.205984364000001,7.5
01jan1997,6.9,6.5,7.762972947,7.5
01feb1997,7.2,6,7.49803077,7.31
01mar1997,6.8,6.1,7.181819422,7.25
01apr1997,6.1,5.8,6.855050223,7.1
01may1997,5.4,5.6,5.969518987,7
01jun1997,5.3,5.6,5.673777217,6.8
01jul1997,5.6,5.6,5.598964915,6.75
01aug1997,5.6,5.4,5.384383592,6.75
01sep1997,6,5.4,5.432958844,6.53
01oct1997,6.6,5.1,5.359823489,6.5
01nov1997,6.3,4.9,5.356322295,6.5
01dec1997,6,5.1,5.594136135,6.5
01jan1998,6.2,5.6,5.931970087,6.88
01feb1998,5.2,5.6,5.801710328,8.35
01mar1998,5.3,5.7,5.944469373,8.5
01apr1998,5.4,6.6,5.859211003,8.5
01may1998,5.3,7.1,6.102090542,8.5
01jun1998,5.4,7,6.028576361,8.5
01jul1998,5.3,7,6.004334993,8.5
01aug1998,5.2,7.1,6.08440145,8.5
01sep1998,4.8,7.1,6.112191243,10.975
01oct1998,4.3,7.4,6.833305709,12.7619047619048
01nov1998,4.3,7.5,6.848298764,9.80952380952381
01dec1998,4.7,7.6,6.554994769,8.324999999999999
01jan1999,3.6,7,6.002455595,7.7175
01feb1999,3.8,6.7,5.89036108,7.25
01mar1999,4.1,6.6,5.769924707,7.21875
01apr1999,4,5.6,5.799511671,6.57142857142857
01may1999,4,5,5.179446435,6.1
01jun1999,3.8,4.8,4.86176158,5.5375
01jul1999,3.4,4.3,4.387521456,5
01aug1999,3.2,4,4.150343338,5
01sep1999,2.9,3.8,3.687447334,5
01oct1999,2.5,3.3,2.744553262,5
01nov1999,2.6,3,2.379958736,5
01dec1999,2.3,2.2,1.995236503,5
01jan2000,2.8,2.2,2.179961437,5.02380952380952
01feb2000,3.3,2.9,2.357582068,5.25
01mar2000,3.4,3,2.411570069,5.3695652173913
01apr2000,3.5,2.9,2.368792836,5.5
01may2000,3.6,2.8,2.550307947,5.5
01jun2000,3.7,2.9,2.606092387,5.5
01jul2000,3.8,2.9,2.605956209,5.5
01aug2000,3.9,3.2,2.445384156,5.43181818181818
01sep2000,4.2,3.5,2.627467796,5
01oct2000,4.5,3.6,2.712228059,5
01nov2000,4.7,3.9,3.053599549,5
01dec2000,4.5,4.1,3.250552561,5
01jan2001,4.7,4.2,3.15297012,4.89772727272727
01feb2001,3.8,3.3,2.671373102,4.675
01mar2001,3.5,3,2.626094312,4.05
01apr2001,3.5,2.9,2.386138124,3.84
01may2001,3.7,3,2.184381206,3.75
01jun2001,3.6,3,2.176497472,3.59
01jul2001,3.2,3.5,2.29095383,3.5
01aug2001,3.8,3.5,2.789784397,6.5
01sep2001,3.9,3.4,2.936125485,6.5
01oct2001,3.4,3.8,3.118378076,6.5
01nov2001,3.1,3.5,2.868253562,6.5
01dec2001,2.6,3.1,2.533863961,6.5
01jan2002,2.2,3,2.511252491,6.16
01feb2002,2.5,3.3,2.704992928,5.83
01mar2002,2.6,3.3,2.412411527,5.05
01apr2002,2.5,3.1,2.49603653,4.75
01may2002,2.1,3.1,2.682446348,4.23
01jun2002,2,2.9,2.454900829,4
01jul2002,2.6,2.6,2.344815751,3.54
01aug2002,2.2,2.6,1.945385311,3.07
01sep2002,2.3,2.5,1.929820194,3
01oct2002,3,2.3,1.934982612,3
01nov2002,3,1.9,2.07906937,3
01dec2002,2.8,1.8,2.337952757,3
01jan2003,3,1.5,2.414999944,2.82
01feb2003,3.8,1.7,2.345582266,2.75
01mar2003,4.5,2,2.541252438,2.75
01apr2003,4,2.7,2.759814634,2.75
01may2003,3.5,2.2,2.578609308,2.75
01jun2003,3.6,1.8,2.630297721,2.75
01jul2003,3.1,1.5,2.595480647,2.75
01aug2003,2.9,1.1,2.458540343,2.75
01sep2003,2.2,1.4,2.205741039,2.75
01oct2003,1.2,1.5,1.782924546,2.75
01nov2003,1,1.4,1.519723546,2.75
01dec2003,1.1,1.5,1.328640456,2.45
01jan2004,.8,1.5,1.083860602,1.87
01feb2004,0,.9,.948302524,1.75
01mar2004,-.7,.4,.648975595,1.75
01apr2004,-.3,.2,.31641142,1.75
01may2004,.6,.6,.298771137,1.75
01jun2004,1.1,1.3,.410465893,1.75
01jul2004,1.4,1.8,.59478657,1.75
01aug2004,1.6,1.9,.726996566,1.75
01sep2004,1.5,1.5,.8002364789999999,1.94
01oct2004,1.9,1.2,.822651587,2
01nov2004,2.5,1.7,1.043694113,2.15
01dec2004,2.4,2,1.154880478,2.25
01jan2005,2.3,2,1.236162132,2.42
01feb2005,2.2,2,1.385573147,2.65
01mar2005,2.4,2,1.360329586,2.75
01apr2005,2.9,2,1.55803308,2.94
01may2005,2.7,2.3,1.781429325,3.14
01jun2005,2.7,2.2,1.794991924,3.25
01jul2005,3.1,2.1,1.887066027,3.4
01aug2005,3,2.2,1.955701426,3.65
01sep2005,3.9,2.4,2.175464855,3.93
01oct2005,4.1,2.5,2.415656672,4.18
01nov2005,3.6,2.5,2.411315236,4.42
01dec2005,3.7,2.4,2.466387527,4.5
01jan2006,4.1,2.6,2.454041367,4.5
01feb2006,4.1,2.9,2.547993111,4.66
01mar2006,4,3.1,2.963652285,4.75
01apr2006,3.8,3.2,3.189731319,4.88
01may2006,3.7,2.7,3.118618793,5
01jun2006,3.9,2.9,3.025912822,5
01jul2006,3.8,3.3,3.014266509,5.14
01aug2006,3.8,3.3,2.91987201,5.25
01sep2006,2.8,3.1,2.729554975,5.25
01oct2006,2.1,3,2.610410201,5.25
01nov2006,2.1,2.6,2.708177592,5.25
01dec2006,2.6,2.7,2.789207931,5.25
01jan2007,2.8,3.1,2.976970635,5.09
01feb2007,2.7,2.5,2.947962232,5
01mar2007,2.6,1.9,2.769770246,5
01apr2007,2.5,1.8,2.773337216,5
01may2007,2.9,2,3.033222505,5
01jun2007,3.2,1.8,3.368413086,5
01jul2007,3.8,1.7,3.933972694,5.15
01aug2007,4.7,2,4.639369745,5.42
01sep2007,5.8,2.5,5.237576,5.62
01oct2007,6.5,2.4,5.609407635,5.75
01nov2007,7.4,3,5.857318734,5.75
01dec2007,7.8,3.4,6.019136631,5.88
01jan2008,7.5,3.3,6.140485337,6.17
01feb2008,8.1,3.7,6.166161967,6.25
01mar2008,8.5,4.3,6.762092091,6.25
01apr2008,8.300000000000001,4.1,7.05687295,6.25
01may2008,8.9,4.7,7.429771234,6.25
01jun2008,9.5,5.1,7.595939632,6.58
01jul2008,9.5,5.5,7.29349595,7.07
01aug2008,9.300000000000001,5.7,7.069135946,7.5
01sep2008,9.199999999999999,5.7,6.914544623,8.15
01oct2008,9.9,6.4,7.079389443,8.25
01nov2008,8.9,7,7.433707146,8.25
01dec2008,7.1,6.5,7.442094544,8.25
01jan2009,6.3,5.8,7.37153511,7.49
01feb2009,5.5,5.3,7.425496621,5.88
01mar2009,5,5.3,7.242467351,3.27
01apr2009,4.5,5,6.35190659,1.92
01may2009,3,3.7,5.677763308,1.36
01jun2009,1.9,3.1,5.122089382,1.04
01jul2009,.3,1.6,4.331487024,.58
01aug2009,-1,1,3.601499897,.5
01sep2009,-1.1,.6,3.240667028,.5
01oct2009,-1.9,-.2,2.606360016,.5
01nov2009,-2.3,-1.3,1.674486797,.5
01dec2009,-1.4,-1.6,1.127534602,.5
01jan2010,-1.3,-.5,.27832535,.5
01feb2010,.3,.1,.390074892,.5
01mar2010,.3,-.8,-.004544612,.5
01apr2010,.9,-.4,.122209069,.5
